,municipio
1101,Heroica Ciudad de Huajuapan de León
1102,Santiago Chazumba
1103,Cosoltepec
1104,San Pedro y San Pablo Tequixtepec
1105,San Juan Bautista Suchitepec
1106,Santa Catarina Zapoquila
1107,Santiago Miltepec
1108,San Jerónimo Silacayoapilla
1109,Zapotitlán Palmas
1110,San Andrés Dinicuiti
1111,Santiago Cacaloxtepec
1112,Asunción Cuyotepeji
1113,Santa María Camotlán
1114,Santiago Huajolotitlán
1115,Santiago Tamazola
1116,San Juan Cieneguilla
1117,Zapotitlán Lagunas
1118,San Juan Ihualtepec
1119,San Nicolás Hidalgo
1120,Guadalupe de Ramírez
1121,San Andrés Tepetlapa
1122,San Miguel Ahuehuetitlán
1123,San Mateo Nejápam
1124,San Juan Bautista Tlachichilco
1125,Tezoatlán de Segura y Luna
1126,Fresnillo de Trujano
1127,Santiago Ayuquililla
1128,San José Ayuquila
1129,San Martín Zacatepec
1130,San Miguel Amatitlán
1131,Mariscala de Juárez
1132,Santa Cruz Tacache de Mina
1133,San Simón Zahuatlán
1134,San Marcos Arteaga
1135,San Jorge Nuchita
1136,Santos Reyes Yucuná
1137,Santo Domingo Tonalá
1138,Santo Domingo Yodohino
1139,San Juan Bautista Coixtlahuaca
1140,Tepelmeme Villa de Morelos
1141,Concepción Buenavista
1142,Santiago Ihuitlán Plumas
1143,Tlacotepec Plumas
1144,San Francisco Teopan
1145,Santa Magdalena Jicotlán
1146,San Mateo Tlapiltepec
1147,San Miguel Tequixtepec
1148,San Miguel Tulancingo
1149,Santiago Tepetlapa
1150,San Cristóbal Suchixtlahuaca
1151,Santa María Nativitas
1152,Silacayoápam
1153,Santiago Yucuyachi
1154,San Lorenzo Victoria
1155,San Agustín Atenango
1156,Calihualá
1157,Santa Cruz de Bravo
1158,Ixpantepec Nieves
1159,San Francisco Tlapancingo
1160,Santiago del Río
1161,San Pedro y San Pablo Teposcolula
1162,La Trinidad Vista Hermosa
1163,Villa de Tamazulápam del Progreso
1164,San Pedro Nopala
1165,Teotongo
1166,San Antonio Acutla
1167,Villa Tejúpam de la Unión
1168,Santo Domingo Tonaltepec
1169,Villa de Chilapa de Díaz
1170,San Antonino Monte Verde
1171,San Andrés Lagunas
1172,San Pedro Yucunama
1173,San Juan Teposcolula
1174,San Bartolo Soyaltepec
1175,Santiago Yolomécatl
1176,San Sebastián Nicananduta
1177,Santo Domingo Tlatayápam
1178,Santa María Nduayaco
1179,San Vicente Nuñú
1180,San Pedro Topiltepec
1181,Santiago Nejapilla
1182,Asunción Nochixtlán
1183,San Miguel Huautla
1184,San Miguel Chicahua
1185,Santa María Apazco
1186,Santiago Apoala
1187,Santa María Chachoápam
1188,San Pedro Coxcaltepec Cántaros
1189,Santiago Huauclilla
1190,Santo Domingo Yanhuitlán
1191,San Andrés Sinaxtla
1192,San Juan Yucuita
1193,San Juan Sayultepec
1194,Santiago Tillo
1195,San Francisco Chindúa
1196,San Mateo Etlatongo
1197,Santa Inés de Zaragoza
1198,Santiago Juxtlahuaca
1199,San Miguel Tlacotepec
1200,San Sebastián Tecomaxtlahuaca
1201,Santos Reyes Tepejillo
1202,San Juan Mixtepec -Dto. 08 -
1203,San Martín Peras
1204,Coicoyán de las Flores
1205,Heroica Ciudad de Tlaxiaco
1206,San Juan Ñumí
1207,San Pedro Mártir Yucuxaco
1208,San Martín Huamelúlpam
1209,Santa Cruz Tayata
1210,Santiago Nundiche
1211,Santa María del Rosario
1212,San Juan Achiutla
1213,Santa Catarina Tayata
1214,San Cristóbal Amoltepec
1215,San Miguel Achiutla
1216,San Martín Itunyoso
1217,Magdalena Peñasco
1218,San Bartolomé Yucuañe
1219,Santa Cruz Nundaco
1220,San Agustín Tlacotepec
1221,Santo Tomás Ocotepec
1222,San Antonio Sinicahua
1223,San Mateo Peñasco
1224,Santa María Tataltepec
1225,San Pedro Molinos
1226,Santa María Yosoyúa
1227,San Juan Teita
1228,Magdalena Jaltepec
1229,Magdalena Yodocono de Porfirio Díaz
1230,San Miguel Tecomatlán
1231,Magdalena Zahuatlán
1232,San Francisco Nuxaño
1233,San Pedro Tidaá
1234,San Francisco Jaltepetongo
1235,Santiago Tilantongo
1236,San Juan Diuxi
1237,San Andrés Nuxiño
1238,San Juan Tamazola
1239,Santo Domingo Nuxaá
1240,Yutanduchi de Guerrero
1241,San Pedro Teozacoalco
1242,San Miguel Piedras
1243,San Mateo Sindihui
1244,Juchitán de Zaragoza
1245,Ciudad Ixtepec
1246,El Espinal
1247,Santo Domingo Ingenio
1248,Santa María Xadani
